rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout_status,rental_id_prev,car_id_prev,checkin_type_prev,state_prev,delay_at_checkout_in_minutes_prev,previous_ended_rental_id_prev,time_delta_with_previous_rental_in_minutes_prev,checkout_status_prev,delay_at_checkin_in_minutes,checkin_status
551311,409112,mobile,ended,,,,Unknown,,,,,,,,,,
551317,283001,mobile,ended,-7.0,,,In time,,,,,,,,,,
551364,406062,connect,ended,34.0,,,Late,,,,,,,,,,
551429,277888,mobile,ended,203.0,,,Late,,,,,,,,,,
551591,304055,mobile,ended,,,,Unknown,,,,,,,,,,
551679,381233,mobile,ended,275.0,,,Late,,,,,,,,,,
551695,374293,mobile,canceled,,,,Unknown,,,,,,,,,,
551795,382793,mobile,ended,-193.0,,,In time,,,,,,,,,,
551868,409330,mobile,ended,,,,Unknown,,,,,,,,,,
551907,171249,mobile,ended,11.0,,,Late,,,,,,,,,,
552204,348625,mobile,ended,91.0,,,Late,,,,,,,,,,
552209,412676,mobile,ended,23.0,,,Late,,,,,,,,,,
552233,245154,connect,ended,4.0,,,Late,,,,,,,,,,
552265,408202,mobile,ended,-28.0,,,In time,,,,,,,,,,
552312,384045,mobile,canceled,,,,Unknown,,,,,,,,,,
552330,384657,connect,ended,23.0,554800.0,0.0,Late,554800.0,384657.0,connect,ended,-672.0,,,In time,,
552342,376619,mobile,ended,-965.0,547312.0,0.0,In time,547312.0,376619.0,mobile,ended,-77.0,,,In time,,
552389,307335,mobile,ended,6.0,,,Late,,,,,,,,,,
552425,385625,connect,ended,-102.0,550476.0,30.0,In time,550476.0,385625.0,connect,ended,-236.0,,,In time,,
552448,364662,mobile,ended,-232.0,,,In time,,,,,,,,,,
552524,173061,connect,ended,-22.0,,,In time,,,,,,,,,,
552677,323777,mobile,ended,31.0,,,Late,,,,,,,,,,
552700,348673,mobile,ended,63.0,,,Late,,,,,,,,,,
552716,294883,mobile,ended,10.0,,,Late,,,,,,,,,,
552850,315136,connect,ended,40.0,,,Late,,,,,,,,,,
552964,384385,mobile,ended,20.0,,,Late,,,,,,,,,,
553033,381331,mobile,ended,,,,Unknown,,,,,,,,,,
553153,276924,mobile,ended,5.0,,,Late,,,,,,,,,,
553240,362608,mobile,ended,,,,Unknown,,,,,,,,,,
553354,401166,mobile,ended,7.0,,,Late,,,,,,,,,,
553356,381684,mobile,ended,-1.0,,,In time,,,,,,,,,,
553367,385783,mobile,ended,24.0,519328.0,150.0,Late,519328.0,385783.0,mobile,ended,-4.0,,,In time,,
553511,363658,mobile,ended,170.0,,,Late,,,,,,,,,,
553532,355444,connect,ended,-20.0,,,In time,,,,,,,,,,
553660,412936,mobile,ended,-3.0,,,In time,,,,,,,,,,
553726,347847,mobile,ended,-36.0,,,In time,,,,,,,,,,
553730,390976,connect,ended,-29.0,,,In time,,,,,,,,,,
553755,393972,mobile,ended,1.0,,,Late,,,,,,,,,,
553795,402528,connect,ended,11.0,,,Late,,,,,,,,,,
553959,398733,mobile,canceled,,,,Unknown,,,,,,,,,,
553984,410694,mobile,ended,-148.0,,,In time,,,,,,,,,,
554021,411852,mobile,ended,,,,Unknown,,,,,,,,,,
554025,293785,mobile,ended,37.0,,,Late,,,,,,,,,,
554508,241021,connect,ended,-37.0,,,In time,,,,,,,,,,
554581,406629,mobile,ended,-5.0,,,In time,,,,,,,,,,
554672,352631,mobile,canceled,,,,Unknown,,,,,,,,,,
554695,402993,mobile,ended,17.0,560722.0,720.0,Late,560722.0,402993.0,mobile,ended,-33.0,,,In time,,
555081,311353,mobile,ended,-72.0,,,In time,,,,,,,,,,
555083,328013,mobile,ended,161.0,,,Late,,,,,,,,,,
555131,324889,mobile,ended,146.0,,,Late,,,,,,,,,,
555458,351168,mobile,ended,-919.0,,,In time,,,,,,,,,,
555600,391519,connect,ended,-95.0,,,In time,,,,,,,,,,
555659,260298,mobile,ended,,,,Unknown,,,,,,,,,,
555703,391926,connect,canceled,,,,Unknown,,,,,,,,,,
555794,327585,mobile,ended,19.0,,,Late,,,,,,,,,,
555813,360548,mobile,ended,-26.0,,,In time,,,,,,,,,,
